time,abs_intensity
3.718,495744
3.72,498331
3.722,489983
3.723,487424
3.725,492797
3.727,490652
3.728,499875
3.73,495055
3.732,497122
3.733,493348
3.735,491567
3.737,491119
3.738,500079
3.74,494946
3.742,497657
3.743,486717
3.745,491539
3.747,493318
3.748,489461
3.75,488930
3.752,487590
3.753,494691
3.755,493300
3.757,490638
3.758,495589
3.76,488942
3.762,492829
3.763,499802
3.765,491682
3.767,494518
3.768,492117
3.77,488139
3.772,496876
3.773,496914
3.775,489568
3.777,491677
3.778,492894
3.78,494346
3.782,494308
3.783,500940
3.785,496945
3.787,503292
3.788,490145
3.79,493051
3.792,494725
3.793,497128
3.795,492198
3.797,491768
3.798,498601
3.8,497969
3.802,499366
3.803,497912
3.805,494372
3.807,493041
3.808,492047
3.81,496969
3.812,486808
3.813,492621
3.815,493548
3.817,490835
3.818,498024
3.82,492313
3.822,494370
3.823,490910
3.825,494354
3.827,496666
3.828,496917
3.83,495433
3.832,491085
3.833,494247
3.835,498165
3.837,488296
3.838,497978
3.84,495974
3.842,494560
3.843,492153
3.845,487745
3.847,492633
3.848,492905
3.85,493870
3.852,494478
3.853,494917
3.855,493411
3.857,499634
3.858,492711
3.86,496378
3.862,490709
3.863,500819
3.865,490529
3.867,495217
3.868,492717
3.87,497543
3.872,490459
3.873,495895
3.875,494010
3.877,497502
3.878,492593
3.88,499023
3.882,496412
3.883,495507
3.885,493567
3.887,491041
3.888,496816
3.89,495961
3.892,490471
3.893,494493
3.895,493614
3.897,492720
3.898,489412
3.9,494920
3.902,490838
3.903,496752
3.905,496186
3.907,497502
3.908,498705
3.91,493999
3.912,499363
3.913,496559
3.915,499943
3.917,494432
3.918,498459
3.92,498139
3.922,495702
3.923,494746
3.925,491075
3.927,498765
3.928,496234
3.93,498223
3.932,501823
3.933,499867
3.935,492123
3.937,493507
3.938,499259
3.94,492259
3.942,492921
3.943,500853
3.945,497299
3.947,500476
3.948,498086
3.95,489855
3.952,496576
3.953,498473
3.955,498789
3.957,493673
3.958,495835
3.96,494281
3.962,491503
3.963,497073
3.965,489375
3.967,490698
3.968,495503
3.97,495838
3.972,491277
3.973,491288
3.975,498058
3.977,496351
3.978,493532
3.98,496142
3.982,493367
3.983,495983
3.985,496621
3.987,496752
3.988,498578
3.99,496956
3.992,496519
3.993,497934
3.995,494803
3.997,499014
3.998,496055
4,506068
4.002,494689
4.003,498699
4.005,507362
4.007,510797
4.008,526366
4.01,549669
4.012,560271
4.013,569248
4.015,571507
4.017,575419
4.018,562921
4.02,541672
4.022,530992
4.023,520982
4.025,506068
4.027,508168
4.028,511296
4.03,499703
4.032,499410
4.033,506521
4.035,504467
4.037,500990
4.038,505523
4.04,504878
4.042,506971
4.043,510990
4.045,515333
4.047,509925
4.048,511423
4.05,501227
4.052,505046
4.053,503701
4.055,503443
4.057,503377
4.058,502654
4.06,508157
4.062,499011
4.063,497045
4.065,499853
4.067,503905
4.068,502090
4.07,505462
4.072,493684
4.073,493036
4.075,497094
4.077,508347
4.078,506766
4.08,508315
4.082,510938
4.083,513644
4.085,506261
4.087,514109
4.088,511741
4.09,510718
4.092,508638
4.093,509694
4.095,526907
4.097,541606
4.098,573861
4.1,602501
4.102,648646
4.103,690953
4.105,721006
4.107,737429
4.108,732604
4.11,716723
4.112,671917
4.113,637188
4.115,601901
4.117,571102
4.118,543230
4.12,527898
4.122,517992
4.123,511527
4.125,504039
4.127,506607
4.128,512017
4.13,509551
4.132,506883
4.133,495832
4.135,496004
4.137,501731
4.138,505978
4.14,494946
4.142,501158
4.143,495851
4.145,496684
4.147,504576
4.148,494390
4.15,494167
4.152,505168
4.153,496849
4.155,497166
4.157,500501
4.158,494737
4.16,498402
4.162,493516
4.163,494381
4.165,497509
4.167,501277
4.168,501324
4.17,502251
4.172,496939
4.173,494195
4.175,505753
4.177,501083
4.178,496132
4.18,502254
4.182,500577
4.183,498825
4.185,507681
4.187,503366
4.188,502083
4.19,503137
4.192,503929
4.193,501701
4.195,503585
4.197,514467
4.198,506680
4.2,506965
4.202,511198
4.203,512828
4.205,505115
4.207,504248
4.208,501541
4.21,503137
4.212,500908
4.213,497936
4.215,494378
4.217,499130
4.218,494092
4.22,502002
4.222,493389
4.223,499680
4.225,499022
4.227,502381
4.228,503598
4.23,496937
4.232,504710
4.233,496633
4.235,507144
4.237,502859
4.238,496210
4.24,498971
4.242,495430
4.243,500990
4.245,512741
4.247,502595
4.248,499869
4.25,504397
4.252,500100
4.253,498337
4.255,503018
4.257,501931
4.258,498049
4.26,499146
4.262,498614
4.263,504475
4.265,500111
4.267,501778
4.268,499227
4.27,500896
4.272,504922
4.273,500603
4.275,502530
4.277,504458
4.278,496820
4.28,499528
4.282,499713
4.283,504525
4.285,500669
4.287,500969
4.288,495237
4.29,502716
4.292,499572
4.293,504796
4.295,503702
4.297,501136
4.298,497065
4.3,499953
4.302,499117
4.303,506894
4.305,501212
4.307,499719
4.308,499152
4.31,501451
4.312,506681
4.313,505797
4.315,500637
4.317,504766
4.318,495785
4.32,495864
4.322,507755
4.323,500975
4.325,503636
4.327,498251
4.328,503066
4.33,497924
4.332,497246
4.333,505565
4.335,497064
4.337,506250
4.338,498760
4.34,508809
4.342,506877
4.343,502922
4.345,506214
4.347,510730
4.348,505854
4.35,508053
4.352,509525
4.353,508857
4.355,513074
4.357,523261
4.358,513876
4.36,507455
4.362,512888
4.363,508252
4.365,515063
4.367,517185
4.368,516678
4.37,509417
4.372,518452
4.373,517939
4.375,513219
4.377,510019
4.378,515513
4.38,506413
4.382,504940
4.383,504692
4.385,503137
4.387,505973
4.388,497456
4.39,506976
4.392,498453
4.393,501947
4.395,499553
4.397,499942
4.398,505018
4.4,501954
4.402,507391
4.403,503501
4.405,501299
4.407,503778
4.408,503543
4.41,501914
4.412,505810
4.413,506180
4.415,509870
4.417,507624
4.418,505443
4.42,500970
4.422,504476
4.423,503519
4.425,501518
4.427,498516
4.428,496653
4.43,502579
4.432,500676
4.433,505629
4.435,513850
4.437,505903
4.438,505498
4.44,506843
4.442,505750
4.443,506739
4.445,502826
4.447,509249
4.448,507622
4.45,507690
4.452,509869
4.453,502774
4.455,503557
4.457,502148
4.458,499903
4.46,501554
4.462,500121
4.463,505090
4.465,503536
4.467,511623
4.468,502666
4.47,505283
4.472,497912
4.473,498377
4.475,503351
4.477,507416
4.478,505420
4.48,499165
4.482,503837
4.483,499924
4.485,494528
4.487,502017
4.488,505691
4.49,504579
4.492,507503
4.493,510660
4.495,502115
4.497,501860
4.498,503257
4.5,507603
4.502,505350
4.503,500030
4.505,504905
4.507,506352
4.508,510613
4.51,506529
4.512,507346
4.513,502827
4.515,504603
4.517,500864
4.518,505521
4.52,502974
4.522,507838
4.523,512487
4.525,507491
4.527,506880
4.528,504224
4.53,508114
4.532,507377
4.533,512372
4.535,511283
4.537,506540
4.538,513086
4.54,508334
4.542,504391
4.543,501660
4.545,513301
4.547,505992
4.548,509731
4.55,503820
4.552,509692
4.553,500456
4.555,502124
4.557,505274
4.558,511142
4.56,507794
4.562,507508
4.563,502126
4.565,500077
4.567,501295
4.568,510630
4.57,507473
4.572,498626
4.573,507116
4.575,508081
4.577,512645
4.578,505298
4.58,509068
4.582,513643
4.583,496675
4.585,502992
4.587,508878
4.588,508127
4.59,508675
4.592,508714
4.593,502969
4.595,504578
4.597,504711
4.598,506497
4.6,507533
4.602,498627
4.603,505756
4.605,512083
4.607,510206
4.608,503203
4.61,507769
4.612,503545
4.613,505012
4.615,508028
4.617,511974
4.618,511043
4.62,509403
4.622,501944
4.623,510262
4.625,500011
4.627,509761
4.628,511297
4.63,511197
4.632,510530
4.633,509770
4.635,513550
4.637,514913
4.638,504678
4.64,518509
4.642,520957
4.643,515371
4.645,516077
4.647,515086
4.648,546207
4.65,608154
4.652,756121
4.653,1045604
4.655,1591824
4.657,2500081
4.658,3826489
4.66,5780905
4.662,8057197
4.663,10190657
4.665,11692242
4.667,12850201
4.668,13073191
4.67,12597964
4.672,10930147
4.673,8554464
4.675,6410049
4.677,4249812
4.678,2709774
4.68,1690480
4.682,1120476
4.683,810178
4.685,677183
4.687,613450
4.688,597555
4.69,578666
4.692,575920
4.693,566531
4.695,559724
4.697,564106
4.698,556294
4.7,559226
4.702,559468
4.703,554457
4.705,554636
4.707,555655
4.708,550582
4.71,548879
4.712,565028
4.713,552236
4.715,560527
4.717,562152
4.718,552556
4.72,550848
4.722,552748
4.723,550135
4.725,549816
4.727,552714
4.728,557509
4.73,553053
4.732,547872
4.733,554681
4.735,543684
4.737,552051
4.738,546431
4.74,539033
4.742,533919
4.743,533893
4.745,534170
4.747,524057
4.748,530322
4.75,528433
4.752,526408
4.753,526621
4.755,529454
4.757,527700
4.758,527092
4.76,517071
4.762,527690
4.763,526797
4.765,533434
4.767,542471
4.768,552398
4.77,571754
4.772,583880
4.773,597525
4.775,598222
4.777,590064
4.778,572631
