nm,blue_1,green_3,yellow_6,red_40,mix_1,mix_2,mix_3
673,0.05,0.06,0,0,0.04,0.01,0.01
674,0.05,0.06,0.01,0,0.04,0.01,0.01
675,0.05,0.05,0,0,0.03,0.01,0.01
676,0.04,0.05,0,0,0.03,0.01,0.01
677,0.04,0.05,0,0,0.03,0.01,0.01
678,0.04,0.04,0,0,0.03,0.01,0
679,0.03,0.04,0,0,0.03,0.01,0.01
680,0.03,0.04,0,0,0.03,0.01,0.01
681,0.03,0.03,0,0,0.03,0.01,0.01
682,0.02,0.03,0,0,0.02,0.01,0
683,0.02,0.03,0,0,0.02,0.01,0
684,0.03,0.03,0,0,0.03,0.01,0.01
685,0.02,0.03,0,0,0.03,0.01,0.01
686,0.02,0.02,0,0,0.02,0,0
687,0.02,0.02,0,0,0.02,0,0
688,0.02,0.02,0,0,0.02,0.01,0.01
689,0.02,0.03,0.01,0,0.03,0.01,0.01
690,0.02,0.02,0,0,0.02,0.01,0.01
691,0.01,0.01,0,0,0.01,0,0
692,0.01,0.01,0,0,0.02,0.01,0
693,0.01,0.01,0,0,0.02,0,0
694,0.02,0.02,0.01,0,0.02,0.01,0.01
695,0.01,0.01,0,0,0.01,0,0
696,0.01,0.02,0,0,0.02,0.01,0.01
697,0.01,0.01,0,0,0.02,0.01,0.01
698,0.01,0.01,0,0,0.02,0.01,0.01
699,0.01,0.02,0,0,0.02,0.01,0.01
700,0.01,0.01,0,0,0.01,0,0
701,0.01,0.01,0,0,0.02,0.01,0.01
702,0.01,0.01,0,0,0.02,0.01,0
703,0.01,0.01,0,0,0.02,0.01,0
704,0.01,0.01,0,0,0.02,0.01,0
705,0.01,0.01,0,0,0.01,0.01,0
706,0,0.01,0,0,0.01,0,0
707,0.01,0.01,0,0,0.01,0,0
708,0.01,0.01,0,0,0.01,0,0
709,0.01,0.01,0.01,0,0.02,0.01,0.01
710,0.01,0.01,0.01,0,0.02,0.01,0.01
711,0.01,0.01,0,0,0.01,0,0
712,0.01,0.01,0,0,0.01,0,0
713,0.01,0.01,0,0,0.01,0.01,0
714,0.01,0.01,0,0,0.02,0.01,0
715,0,0,0,0,0.01,0,0
716,0,0,0,0,0.01,0,0
717,0.01,0.01,0,0,0.02,0.01,0.01
718,0.01,0,0,0,0.01,0,0
719,0,0,0,0,0.01,0,0
720,0.01,0.01,0,0,0.01,0,0
721,0.01,0.01,0,0,0.01,0,0
722,0.01,0.01,0,0,0.02,0.01,0.01
723,0,0,0,0,0.01,0,0
724,0,0,0,0,0.01,0,0
725,0,0.01,0,0,0.01,0,0
726,0,0,0,0,0.01,0,0
727,0,0,0,0,0.01,0,0
728,0,0,0,0,0.01,0,0
729,0.01,0.01,0,0,0.01,0.01,0
730,0.01,0.01,0,0,0.01,0.01,0
731,0,0,0,0,0.01,0,0
732,0.01,0.01,0,0,0.01,0.01,0.01
733,0.01,0.01,0,0,0.01,0,0
734,0,0,0,0,0.01,0,0
735,0.01,0.01,0,0,0.01,0,0
736,0,0,0,0,0.01,0,0
737,0.01,0,0,0,0.01,0,0
738,0,0,0,0,0.01,0,0
739,0.01,0.01,0.01,0,0.02,0.01,0.01
740,0,0,0,0,0.01,0,0
741,0.01,0.01,0,0,0.01,0.01,0
742,0.01,0.01,0,0,0.01,0,0
743,0.01,0,0,0,0.01,0,0
744,0.01,0,0,0,0.01,0,0
745,0.01,0,0,0,0.01,0,0
746,0,0,0,0,0.01,0,0
747,0.01,0.01,0,0,0.02,0.01,0.01
748,0,0,0,0,0.01,0,0
749,0,0,0,0,0.01,0,0
750,0.01,0.01,0,0,0.01,0,0
751,0,0,0,0,0.01,0,0
752,0,0,0,0,0.01,0,0
753,0,0,0,0,0.01,0,0
754,0.01,0.01,0.01,0,0.02,0.01,0.01
755,0.01,0.01,0.01,0,0.02,0.01,0
756,0,0,0,0,0.01,0,0
757,0,0,0,0,0.01,0,0
758,0,0,0,0,0.01,0,0
759,0.01,0,0,0,0.01,0,0
760,0.01,0,0,0,0.01,0,0
761,0,0,0,0,0.01,0,0
762,0,0,0,0,0.01,0,0
763,0,0,0,0,0.01,0,0
764,0,0,0,0,0.01,0,0
765,0,0,0,0,0.01,0,-0.01
766,0,0,0,0,0.01,0,0
767,0,0,0,0,0.01,0,0
768,0,0,0,0,0.01,0,0
769,0,0,0,0,0.01,0,0
770,0,0,0,0,0.01,0,0
771,0,0,0,0,0.01,0,0
772,0,0,0,0,0.01,0,0
773,0,0,0,0,0.01,0,0
774,0.01,0,0,0,0.01,0,0
775,0,0,0,0,0.01,0,0
776,0.01,0,0,0,0.01,0,0
777,0,0,0,0,0.01,0,0
778,0,0,0,0,0.01,0,0
779,0,0,0,0,0.01,0,-0.01
780,0,0,0,0,0.01,0,0
781,0.01,0,0,0,0.01,0,0
782,0,0,0,0,0.01,0,0
783,0.01,0.01,0,0,0.02,0.01,0
784,0,0,0,0,0.01,0,0
785,0.01,0,0,0,0.01,0,0
786,0.01,0,0.01,0,0.01,0.01,0
787,0.01,0,0,0,0.01,0,0
788,0.01,0.01,0.01,0,0.02,0.01,0
789,0,0,0,0,0.01,0,-0.01
790,0.01,0.01,0.01,0,0.02,0.01,0
791,0.01,0.01,0.01,0,0.02,0.01,0
792,0,0,0,0,0.01,0,0
793,0.01,0,0,0,0.01,0,0
794,0.01,0,0,0,0.01,0,0
795,0,0,0,0,0.01,0,-0.01
796,0.01,0,0,0,0.02,0,0
797,0.01,0,0,0,0.01,0,0
798,0,0,0,0,0.01,0,-0.01
799,0.01,0.01,0.01,0,0.02,0.01,0
800,0,-0.01,0,0,0.01,0,-0.01
801,0,0,0,0,0.01,0,0
802,0.01,0,0,0,0.01,0,0
803,0,0,0,0,0.01,0,-0.01
804,0,-0.01,-0.01,0,0.01,-0.01,-0.01
805,0.01,0,0,0,0.01,0,0
806,0.01,0,0.01,0,0.02,0.01,0
807,0.01,0,0.01,0,0.02,0.01,0
808,0.01,0,0,0,0.01,0,0
809,0.01,0,0.01,0,0.01,0,0
810,0.01,0,0.01,0,0.02,0,0
811,0,-0.01,-0.01,0,0,-0.01,-0.01
812,0,-0.01,0,0,0.01,0,-0.01
813,0.01,0,0.01,0,0.02,0.01,0
814,0.01,0,0,0,0.01,0,0
815,0,0,0,0,0.01,0,0
816,0,-0.01,-0.01,0,0,-0.01,-0.01
817,0.01,0,0,0,0.01,0,0
818,0.01,0.01,0.01,0,0.02,0.01,0
819,0,0,0,0,0.01,0,-0.01
820,0.01,0.01,0.01,0,0.02,0.01,0
821,0.01,0,0,0,0.01,0,0
822,0.01,0,0,0,0.01,0,-0.01
823,0.02,0.01,0.01,0,0.02,0.01,0.01
824,0,0,0,0,0.01,0,0
825,0.01,0.01,0.01,0,0.02,0.01,0
826,0,0,0,0,0.01,0,-0.01
827,0.01,0,0,0,0.01,0.01,0
828,0,0,0,0,0.01,0,-0.01
829,0.01,0,0,0,0.02,0,0
830,0.01,0,0,0,0.01,0,0
831,0.01,0,0,0,0.02,0,0
